adres,expected,lat,lng,status,heeft_laadpaal,confidence,signalen,ev_merk,notitie,n_photos,labels
"Straat van Gibraltar 110, Amersfoort",True,52.1902762,5.4201492,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Gibraltar 112, Amersfoort",True,52.1902883,5.4202181,OK,True,0.95,"B1: kabelgoot rechts,F1: kabelgoot links",,"Kabelgoten aan beide zijden van het huis, waardoor een laadpaal waarschijnlijk aanwezig is.",3,"B1,base,F1"
"Straat van Gibraltar 100, Amersfoort",True,52.1902018,5.4189567,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 116, Amersfoort",True,52.1904548,5.4147523,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 114, Amersfoort",True,52.1905726,5.4147688,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 109, Amersfoort",True,52.19065,5.415267,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 90, Amersfoort",True,52.1917632,5.4147685,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 82, Amersfoort",True,52.1919699,5.4147901,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel van het centrale huis, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 74, Amersfoort",True,52.1923272,5.4147409,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 72, Amersfoort",True,52.19249,5.4147656,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 48, Amersfoort",True,52.1933885,5.4147831,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 40, Amersfoort",True,52.1936766,5.4147997,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Dover 36, Amersfoort",True,52.1939624,5.4147736,OK,True,0.95,"B1: kabelgoot rechts,F1: kabelgoot links",,"Kabelgoten aan beide zijden van het huis, duidelijk ladinginfrastructuur.",3,"B1,base,F1"
"Straat van Dover 20, Amersfoort",True,52.1946573,5.4147864,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Messina 31, Amersfoort",True,52.1946831,5.4251934,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Messina 49a, Amersfoort",True,52.1940462,5.425223,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Messina 6, Amersfoort",True,52.1937971,5.4248197,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Messina 57, Amersfoort",True,52.1931271,5.4252299,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Messina 8, Amersfoort",True,52.1932033,5.424799,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
"Straat van Messina 10, Amersfoort",True,52.193051,5.4247871,OK,True,0.95,"B1: kabelgoot rechts,F1: wallbox op zijgevel",,"Wallbox en kabelgoot aan de zijgevel, duidelijk aanwezig.",3,"B1,base,F1"
